"","from","to","node_only_dist"
"1",3724,5155,1
"2",5155,6586,1e-05
"3",6586,8017,1e-05
"4",8017,9448,1e-05
"5",9448,10879,1e-05
"6",10879,12310,1e-05
"7",12310,13741,1e-05
"8",13741,15172,1e-05
"9",15172,16603,1e-05
"10",16603,18034,1e-05
"11",18034,19465,1e-05
"12",19465,20896,1e-05
"13",20896,22326,1e-05
"14",22326,23757,1e-05
"15",23757,25188,1e-05
"16",25188,26619,1e-05
"17",26619,28050,1e-05
"18",28050,29481,1e-05
"19",29481,30912,1e-05
"20",30912,32343,1e-05
"21",32343,33774,1e-05
"22",33774,35204,1e-05
"23",35204,36635,1e-05
"24",36635,38066,1e-05
"25",38066,39497,1e-05
"26",39497,40927,1e-05
"27",40927,42358,1e-05
"28",42358,43789,1e-05
"29",43789,45220,1e-05
"30",45220,46651,1e-05
"31",46651,48082,1e-05
"32",48082,49512,1e-05
"33",49512,50943,1e-05
"34",50943,52374,1e-05
"35",52356,52357,1
"36",52357,53789,1e-05
"37",52374,53805,1e-05
"38",53789,53790,1e-05
"39",53790,53791,1e-05
"40",53791,53792,1e-05
"41",53792,53793,1e-05
"42",53793,53794,1e-05
"43",53794,53795,1e-05
"44",53795,55227,1e-05
"45",53805,55236,1e-05
"46",55227,55228,1e-05
"47",55228,56660,1e-05
"48",55236,56666,1e-05
"49",56660,56661,1e-05
"50",56661,56662,1e-05
"51",56662,56663,1e-05
"52",56663,56664,1e-05
"53",56664,56665,1e-05
"54",56665,56666,1e-05
"55",56666,58097,1
"56",58097,59528,1
"57",59528,59529,1e-05
"58",59528,60959,1e-05
"59",59529,59530,1e-05
"60",59530,59531,1e-05
"61",59531,59532,1e-05
"62",59532,60964,1e-05
"63",60959,62390,1e-05
"64",60964,60965,1e-05
"65",60965,60966,1e-05
"66",60966,60967,1e-05
"67",60967,62398,1e-05
"68",62390,63821,1e-05
"69",62398,62399,1e-05
"70",62399,62400,1e-05
"71",62400,63832,1e-05
"72",63821,65251,1e-05
"73",63832,63833,1e-05
"74",63833,63834,1e-05
"75",63834,65266,1e-05
"76",65251,66682,1e-05
"77",65266,65267,1e-05
"78",65267,66699,1e-05
"79",66682,68113,1e-05
"80",66699,66700,1e-05
"81",66700,66701,1e-05
"82",66701,66702,1e-05
"83",66702,68134,1e-05
"84",68113,69544,1e-05
"85",68134,68135,1e-05
"86",68135,68136,1e-05
"87",68136,69567,1e-05
"88",69544,70975,1e-05
"89",69567,69568,1e-05
"90",69568,69569,1e-05
"91",69569,69570,1e-05
"92",69570,71001,1e-05
"93",70975,72405,1e-05
"94",71001,71002,1e-05
"95",71002,71003,1e-05
"96",71003,72435,1e-05
"97",72405,73836,1e-05
"98",72435,72436,1e-05
"99",72436,72437,1e-05
"100",72437,72438,1e-05
"101",72438,73869,1e-05
"102",73836,75267,1e-05
"103",73869,73870,1e-05
"104",73870,73871,1e-05
"105",73871,73872,1e-05
"106",73872,75304,1e-05
"107",75267,76698,1e-05
"108",75304,75305,1e-05
"109",75305,76737,1e-05
"110",76698,78129,1e-05
"111",76737,76738,1
"112",78129,79560,1e-05
"113",79560,80991,1e-05
"114",80991,82422,1e-05
"115",82422,83853,1e-05
"116",83853,85284,1e-05
"117",85284,86715,1e-05
"118",86715,88146,1e-05
"119",88146,89578,1e-05
"120",89578,91009,1e-05
"121",91009,92440,1e-05
"122",92440,93871,1e-05
"123",93871,95302,1e-05
"124",95302,96733,1e-05
"125",96733,98164,1e-05
"126",98164,99596,1e-05
"127",99596,101027,1e-05
"128",101027,102458,1e-05
"129",102458,103890,1e-05
"130",103890,105321,1e-05
"131",105321,106752,1e-05
"132",106752,106753,1e-05
"133",106753,108184,1e-05
"134",108184,109615,1e-05
"135",109615,109616,1e-05
"136",109616,111047,1e-05
"137",111047,111048,1e-05
"138",111048,112479,1e-05
"139",112479,112480,1e-05
"140",112480,113912,1e-05
"141",113912,113913,1e-05
"142",113913,115345,1e-05
"143",115345,115346,1e-05
"144",115346,116777,1e-05
"145",116777,118208,1
"146",116786,116787,1e-05
"147",116786,118216,1e-05
"148",116787,116788,1e-05
"149",116788,116789,1e-05
"150",116789,116790,1e-05
"151",116790,116791,1
"152",118208,118209,1
"153",118208,119639,1
"154",118209,118210,1e-05
"155",118210,118211,1e-05
"156",118211,118212,1e-05
"157",118212,118213,1e-05
"158",118213,118214,1e-05
"159",118214,118215,1e-05
"160",118215,118216,1e-05
"161",119638,119639,1e-05
"162",119638,121069,1e-05
"163",121067,121068,1e-05
"164",121067,122498,1e-05
"165",121068,121069,1e-05
"166",122497,122498,1e-05
"167",122497,123927,1e-05
"168",123927,125357,1e-05
"169",125357,126788,1e-05
"170",126788,128219,1e-05
"171",128219,129650,1e-05
"172",129650,129651,1e-05
"173",129651,129652,1e-05
"174",129652,131083,1e-05
"175",131083,131084,1e-05
"176",131084,131085,1e-05
"177",131085,132517,1e-05
"178",132517,132518,1e-05
"179",132518,133950,1e-05
"180",133950,133951,1e-05
"181",133951,135383,1e-05
"182",135383,135384,1e-05
"183",135384,136816,1e-05
"184",136816,136817,1e-05
"185",136817,136818,1e-05
"186",136818,136819,1e-05
"187",136819,138250,1e-05
"188",138250,138251,1e-05
"189",138251,138252,1e-05
"190",138252,139684,1e-05
"191",139684,141116,1e-05
"192",141116,142548,1e-05
"193",142548,142549,1e-05
"194",142549,143981,1e-05
"195",143981,145413,1e-05
"196",145413,146845,1e-05
"197",146845,146846,1e-05
"198",146846,148278,1e-05
"199",148278,148279,1e-05
"200",148279,149710,1e-05
"201",149710,149711,1e-05
"202",149711,151142,1e-05
"203",151142,151143,1e-05
"204",151143,152574,1e-05
"205",152574,152575,1e-05
"206",152575,154007,1e-05
"207",154007,155438,1e-05
"208",155438,155439,1e-05
"209",155439,156870,1e-05
"210",156870,156871,1e-05
"211",156871,158302,1e-05
"212",158302,159733,1e-05
"213",159733,159734,1e-05
"214",159734,161166,1e-05
"215",161166,162597,1e-05
"216",162597,164028,1e-05
"217",164028,165460,1e-05
"218",165460,166891,1e-05
"219",166891,168322,1e-05
"220",168322,169753,1e-05
"221",169753,171184,1e-05
"222",171184,172615,1e-05
"223",172615,174046,1e-05
"224",174046,175477,1e-05
"225",175477,176908,1e-05
"226",176908,178338,1e-05
"227",178338,179769,1e-05
"228",179744,179745,1e-05
"229",179744,181175,1e-05
"230",179745,179746,1e-05
"231",179746,179747,1e-05
"232",179747,179748,1e-05
"233",179748,179749,1e-05
"234",179749,179750,1e-05
"235",179750,179751,1e-05
"236",179751,181183,1e-05
"237",179769,181199,1e-05
"238",181174,181175,1e-05
"239",181174,182605,1e-05
"240",181183,181184,1e-05
"241",181184,182616,1e-05
"242",181199,182630,1e-05
"243",182604,182605,1e-05
"244",182604,184035,1e-05
"245",182616,182617,1e-05
"246",182617,184048,1e-05
"247",182630,184060,1e-05
"248",184034,184035,1e-05
"249",184034,185465,1e-05
"250",184048,184049,1e-05
"251",184049,185481,1e-05
"252",184060,185491,1e-05
"253",185465,186896,1e-05
"254",185481,186913,1e-05
"255",185491,186922,1e-05
"256",186896,188327,1e-05
"257",186913,188345,1e-05
"258",186921,186922,1e-05
"259",186921,188352,1e-05
"260",188327,189758,1e-05
"261",188345,188346,1e-05
"262",188346,189777,1e-05
"263",188352,189783,1e-05
"264",189758,191189,1e-05
"265",189777,189778,1e-05
"266",189778,191209,1e-05
"267",189783,191213,1e-05
"268",191189,191190,1e-05
"269",191190,192621,1e-05
"270",191209,192641,1e-05
"271",191213,192643,1e-05
"272",192621,194052,1e-05
"273",192641,192642,1
"274",192642,192643,1
"275",192642,194073,1
"276",194052,195484,1e-05
"277",194073,195504,1e-05
"278",195484,196916,1e-05
"279",195504,196935,1
"280",196916,198348,1e-05
"281",196934,196935,1
"282",196934,198365,1e-05
"283",196935,198367,1
"284",198348,199780,1e-05
"285",198364,198365,1e-05
"286",198364,199794,1e-05
"287",198367,199799,1e-05
"288",199780,199781,1e-05
"289",199781,199782,1e-05
"290",199782,199783,1e-05
"291",199783,201214,1e-05
"292",199793,199794,1e-05
"293",199793,201224,1e-05
"294",199799,201230,1e-05
"295",201214,201215,1e-05
"296",201215,201216,1e-05
"297",201216,201217,1e-05
"298",201217,201218,1e-05
"299",201218,202650,1e-05
"300",201223,201224,1e-05
"301",201223,202653,1e-05
"302",201230,202661,1e-05
"303",202650,202651,1e-05
"304",202651,202652,1e-05
"305",202652,202653,1e-05
"306",202661,204093,1e-05
"307",204093,205524,1e-05
"308",205524,206955,1e-05
"309",206955,208386,1e-05
"310",208386,209817,1e-05
"311",209817,211248,1e-05
"312",211248,212679,1e-05
"313",212679,214109,1e-05
"314",214109,215540,1e-05
"315",215540,216971,1e-05
"316",216970,216971,1e-05
"317",216970,218401,1e-05
"318",218401,219832,1e-05
"319",219831,219832,1e-05
"320",219831,221262,1e-05
"321",221261,221262,1e-05
"322",221261,222692,1e-05
"323",222692,224122,1e-05
"324",224122,225553,1e-05
"325",225552,225553,1e-05
"326",225552,226983,1e-05
"327",226982,226983,1e-05
"328",226982,228413,1e-05
"329",228412,228413,1e-05
"330",228412,229843,1e-05
"331",229843,231273,1e-05
"332",231273,232703,1e-05
"333",232691,232692,1
"334",232692,232693,1e-05
"335",232693,232694,1e-05
"336",232694,234126,1e-05
"337",232703,234134,1e-05
"338",234126,234127,1e-05
"339",234127,234128,1e-05
"340",234128,234129,1e-05
"341",234129,234130,1e-05
"342",234130,234131,1e-05
"343",234131,234132,1e-05
"344",234132,234133,1
"345",234133,234134,1
"346",234133,235564,1
"347",235564,236996,1e-05
"348",236996,236997,1e-05
"349",236997,238429,1e-05
"350",238429,238430,1e-05
"351",238430,239862,1e-05
"352",239862,239863,1e-05
"353",239863,241295,1e-05
"354",241295,242727,1e-05
"355",242727,244158,1e-05
"356",244158,245589,1
"357",245589,245590,1
"358",245589,247020,1
"359",245590,245591,1
"360",247019,247020,1e-05
"361",247019,248450,1e-05
"362",248448,248449,1e-05
"363",248448,249878,1e-05
"364",248449,248450,1e-05
"365",249878,251308,1e-05
"366",251307,251308,1e-05
"367",251307,252737,1e-05
"368",252736,252737,1e-05
"369",252736,254166,1e-05
"370",254165,254166,1e-05
"371",254165,255595,1e-05
"372",255595,257025,1e-05
"373",257024,257025,1e-05
"374",257024,258455,1e-05
"375",258454,258455,1e-05
"376",258454,259885,1e-05
"377",259884,259885,1e-05
"378",259884,261315,1e-05
"379",261314,261315,1e-05
"380",261314,262745,1e-05
"381",262744,262745,1e-05
"382",262744,264174,1e-05
"383",264174,265604,1e-05
"384",265604,267035,1e-05
"385",267034,267035,1e-05
"386",267034,268465,1e-05
"387",268465,269896,1e-05
"388",269896,271326,1e-05
"389",271326,272757,1
